conta,valor,grupo,bloco
Caixa empresa,25000,Caixa e Bancos,Ativo Circulante
Banco do Brasil,70000,Caixa e Bancos,Ativo Circulante
Banco Bradesco,28000,Caixa e Bancos,Ativo Circulante
Banco Itau,32000,Caixa e Bancos,Ativo Circulante
Nubank,10000,Caixa e Bancos,Ativo Circulante
Aplica??o,85000,Caixa e Bancos,Ativo Circulante
Vencidas,30000,Contas a Receber ? Clientes,Ativo Circulante
At? 30 dias,110000,Contas a Receber ? Clientes,Ativo Circulante
De 30 a 60 dias,35000,Contas a Receber ? Clientes,Ativo Circulante
De 60 a 90 dias,15000,Contas a Receber ? Clientes,Ativo Circulante
Mais de 90 dias,10000,Contas a Receber ? Clientes,Ativo Circulante
Estoques de mercadorias,210000,Estoques (Custo),Ativo Circulante
Outros insumos,130000,Estoques (Custo),Ativo Circulante
Equipamentos placa solar,50000,Imobilizado,Ativo N?o Circulante
M?quinas e equipamentos,95000,Imobilizado,Ativo N?o Circulante
Ve?culos,130000,Imobilizado,Ativo N?o Circulante
M?veis e utens?lios,115000,Imobilizado,Ativo N?o Circulante
Vencidas,10000,Fornecedores,Passivo Circulante
At? 30 dias,50000,Fornecedores,Passivo Circulante
De 30 a 60 dias,42000,Fornecedores,Passivo Circulante
De 60 a 90 dias,30000,Fornecedores,Passivo Circulante
Mais de 90 dias,18000,Fornecedores,Passivo Circulante
Super Simples,42000,Obriga??es Tribut?rias,Passivo Circulante
Giro Caixa / PROGER,45000,Empr?stimos e Financiamentos,Passivo Circulante
BB Giro 1 / BB Giro 2,55000,Empr?stimos e Financiamentos,Passivo Circulante
CDC Caminhao / Ve?culos,28000,Empr?stimos e Financiamentos,Passivo Circulante
Tarifas e juros bancarios,12000,Empr?stimos e Financiamentos,Passivo Circulante
Salarios,42000,Obriga??es com Funcion?rios,Passivo Circulante
INSS / FGTS / Encargos,22000,Obriga??es com Funcion?rios,Passivo Circulante
Vale transp. / Beneficios,9000,Obriga??es com Funcion?rios,Passivo Circulante
Rescisoes,6000,Obriga??es com Funcion?rios,Passivo Circulante
Provisoes / Exames,19000,Obriga??es com Funcion?rios,Passivo Circulante
Financiamentos LP,170000,Financiamentos de Longo Prazo,Passivo N?o Circulante
Capital social e reservas,580000,Capital e Reservas,Patrim?nio L?quido
